ID,NAtoms,Ne,Homo-4,Homo-3,Homo-2,Homo-1,Homo,Lumo,Lumo+1,Lumo+2,Lumo+3,Lumo+4,CIe,HF,ET,EV,EJ,EK,ENuc,Dipole,Factor,Theta,Mu,B_opt1,B_opt2,B_opt3,B_opt4,B_opt5,Err1,Err2,Err3,Err4,Err5
AC0017,16,58,-0.50191,-0.46674,-0.41017,-0.40948,-0.36901,0.03511,0.04744,0.05345,0.05669,0.06486,-1.5815558,-340.8766757476,5.86698732758621,-25.6495401724138,8.746443,-0.81385924137931,5.972785,2.5978,2,9.72896885275841,-0.235283203125,1.81450262069702,-0.190261936187745,1.12381219863892,-0.472624015808107,1.16094264984131,2.9718953076241E-08,2.81186429695879E-08,5.27267571825973E-08,0.554135934174804,9.34717128142637E-08
AC0018,15,40,-0.50598,-0.48979,-0.47069,-0.40853,-0.39907,0.04309,0.05351,0.05569,0.05691,0.07601,-1.0254007,-195.1935951407,4.872014125,-20.263889175,6.78630295,-0.738214575,4.463946775,0.1186,2,10.4094938397408,-0.23544921875,1.81475658416748,-0.006703853607179,1.07877912521362,-0.990331649780275,1.0946813583374,1.73292140637216E-08,1.11645708233965E-08,7.61643550450941E-08,0.060549650382074,3.56294556080883E-08
AC0019,18,48,-0.47851,-0.46132,-0.44345,-0.42378,-0.41759,0.043,0.05245,0.05496,0.05597,0.07194,-1.2337908,-234.2419128372,4.87277939583333,-21.575640625,7.44437758333333,-0.73854075,5.11698454166667,0.0818,2,10.3403654545546,-0.234462890625,1.84931936264038,0.021197414398193,1.08557319641113,-1.23111934661865,1.09885129928589,1.73656540258804E-08,4.33408708921945E-09,4.12838263574855E-08,0.011086873121704,2.91193411605661E-08
AC0021,24,64,-0.47267,-0.46059,-0.44427,-0.41855,-0.4165,0.04249,0.05,0.05244,0.0532,0.06813,-1.6501595,-312.3718611751,4.873695203125,-23.90130671875,8.607328109375,-0.73926184375,6.278734921875,0.0513,2,10.195684927702,-0.2327587890625,1.87575540542603,0.024156475067138,1.09200420379639,-0.765513706207277,1.09540596008301,2.44259001913605E-08,1.93504905432462E-08,8.59998257052297E-08,1.33760582610165E-08,7.46573940446638E-08
AC0022,17,48,-0.48821,-0.47607,-0.45582,-0.43239,-0.36855,0.0416,0.05202,0.05351,0.05759,0.07475,-1.2624316,-250.2377449715,5.20517122916667,-22.5084566666667,7.66953020833333,-0.760769979166667,5.18123885416667,1.2921,2,10.169857853651,-0.23173828125,1.84773349761963,-0.055636024475099,1.10698843002319,-1.05463514328003,1.12758407592773,2.37258155344477E-08,1.90593993920629E-08,7.13594858758881E-08,0.103437068829107,6.30349858976587E-08
AC0023,20,56,-0.47595,-0.46668,-0.45027,-0.44657,-0.36479,0.04152,0.05185,0.05418,0.05633,0.06952,-1.4699841,-289.3131492666,5.158437375,-23.6393602321429,8.26942073214286,-0.758160053571429,5.80335592857143,0.9929,2,10.1139897733927,-0.23119140625,1.85997428894043,-0.043691444396974,1.10690832138062,-0.959997367858888,1.12343463897705,3.55997964440746E-08,2.23521632314316E-08,2.85906807118153E-08,1.17796883358778E-11,5.08471633686725E-08
AC0024,23,64,-0.47337,-0.46541,-0.45454,-0.43616,-0.35284,0.04218,0.04949,0.05109,0.05283,0.06837,-1.678608,-328.3651868739,5.12294771875,-24.651732359375,8.801539609375,-0.75594421875,6.35248321875,1.1772,2,10.0838193804026,-0.2302783203125,1.86443147659302,-0.045621585845948,1.1091598033905,-0.684444236755373,1.11965589523315,3.1688000889929E-08,1.6777423006431E-08,5.32902448835415E-08,2.47333928893312E-08,1.7308293909224E-08
AC0025,16,48,-0.49622,-0.48626,-0.45422,-0.44393,-0.40638,0.04197,0.05154,0.05497,0.05673,0.07485,-1.280809,-270.0771103844,5.61776660416667,-23.5669851041667,7.90498283333333,-0.787135541666667,5.20476472916667,2.0289,2,9.90683507919312,-0.2390625,1.86095209121704,-0.009639072418214,1.1119854927063,-1.12067651748657,1.12990198135376,6.95638879832927E-09,2.0614948192943E-08,2.6857677859482E-08,0.097489667581299,6.25198299797347E-08
AC0026,19,56,-0.48659,-0.47027,-0.46578,-0.44807,-0.40294,0.042,0.05169,0.05416,0.05551,0.06939,-1.4871115,-309.1535734384,5.51212119642857,-24.5692750178571,8.48293323214286,-0.780816071428571,5.83443716071429,1.791,2,9.9039971768856,-0.237265625,1.8750186920166,-0.000257492065431,1.11328983306885,-1.19782781600952,1.127707862854,2.64286534878977E-08,3.12658132717303E-08,5.40362423695484E-08,6.23092333285058E-09,1.10386173535204E-08
AC0027,22,64,-0.47788,-0.47094,-0.45022,-0.43773,-0.39913,0.04225,0.05003,0.0517,0.05428,0.0686,-1.6956507,-348.2057816152,5.43249584375,-25.50169753125,9.006254578125,-0.775755203125,6.39798696875,1.5103,2,9.89944978356361,-0.235478515625,1.88138608932495,-0.006176757812501,1.1137451171875,-0.96689615249634,1.12482614517212,1.3588781877516E-08,6.01361440644155E-08,7.14268644230742E-10,1.09735915909681E-08,6.34356789319668E-09
AC0028,6,16,-0.79245,-0.64102,-0.58903,-0.50615,-0.37707,0.04818,0.05989,0.06355,0.08173,0.1058,-0.40237438,-78.0618223098,4.869242125,-15.48639075,4.392074375,-0.7336509375,2.0798613125,0,2,10.8533496201038,-0.2385546875,1.68758249282837,-0.117690753936769,1.05253343582153,-0.507566833496095,1.0914005279541,3.33363225912819E-10,4.72563788100899E-09,2.38956514575506E-08,0.042641624625811,2.43064888216793E-08
AC0030,7,22,-0.62989,-0.60632,-0.60631,-0.37855,-0.37854,0.04386,0.05901,0.06539,0.06539,0.11314,-0.57083761,-115.9027269939,5.25786809090909,-17.60753,5.16565522727273,-0.767666681818182,2.68336759090909,0.0001,2,10.6717085272074,-0.2286328125,1.69190721511841,-0.357504844665529,1.07505025863647,-0.101044654846192,1.13367128372192,1.46952690016633E-08,9.69451341426009E-09,2.06136441249782E-09,0.22533508577914,3.3859024584082E-08
AC0031,7,24,-0.62192,-0.57585,-0.57207,-0.52003,-0.34681,0.03857,0.05837,0.06534,0.08089,0.11833,-0.65890507,-152.9507775127,6.36159666666667,-20.7913151666667,5.97746729166667,-0.833227458333333,2.912529625,1.9412,2,9.78402669429779,-0.23783203125,1.73526630401612,-0.32021884918213,1.12508249282837,-0.251326847076417,1.16869764328003,9.20513043567439E-09,1.9746062562831E-09,1.41790434948774E-09,2.22833563823244E-08,2.93242922166925E-08
AC0033,8,24,-0.64023,-0.57001,-0.5153,-0.49484,-0.30541,0.04091,0.05629,0.06036,0.08085,0.08733,-0.63803839,-133.1159569702,5.535946375,-18.8891381666667,5.61338908333333,-0.780795208333333,2.97409966666667,1.7419,2,10.3658340394497,-0.2219140625,1.67946252822876,-0.668017005920412,1.10804309844971,-0.237348651885987,1.16678810119629,1.21575438605248E-09,5.3952031731086E-10,3.61020936479051E-08,1.3059890502376E-08,3.39587884479187E-08
AC0034,6,24,-0.68585,-0.68244,-0.58928,-0.56051,-0.38708,0.04463,0.05741,0.06692,0.10825,0.11721,-0.66511527,-176.9494822087,7.361964375,-23.033685375,6.396283625,-0.894696583333333,2.797238875,1.7028,2,9.20653503537178,-0.25822265625,1.71867818832398,-0.165106201171876,1.12211647033691,-0.105452728271485,1.15232172012329,1.01316461886825E-08,9.18702802721327E-09,1.17196915505602E-08,1.84879810349869E-08,7.68253616278969E-09
AC0035,8,32,-0.58067,-0.51724,-0.48329,-0.41744,-0.34358,0.04208,0.05732,0.0594,0.07556,0.08346,-0.73083447,-419.3863414937,13.0993780625,-37.0505228125,8.9456960625,-1.0859581875,2.9855836875,1.0096,2,10.5843360394239,-0.228173828125,1.6316990852356,-0.214277935028077,1.05690259933472,-0.202590656280519,1.13113956451416,8.11116529497724E-09,1.721335496363E-08,3.51052681368813E-08,0.29703928716337,1.01102333172065E-08
AC0036,7,32,-0.58857,-0.54241,-0.47195,-0.44022,-0.33329,0.04005,0.05645,0.06226,0.07781,0.09393,-0.74585627,-475.6049500339,14.8560645,-41.0498355625,9.5826990625,-1.14952534375,2.89794265625,1.2635,2,10.278136754036,-0.22642578125,1.63580904006958,-0.304660606384278,1.07637023925781,-0.309745597839357,1.16112680435181,1.54432299170892E-08,1.50528897124858E-08,1.1732059990166E-08,0.27938016376419,6.95566271247117E-10
AC0037,6,32,-0.61629,-0.52925,-0.50917,-0.45521,-0.37409,0.04232,0.05795,0.06479,0.09628,0.09887,-0.68406214,-536.9927314746,16.77601821875,-45.34028278125,10.244155875,-1.21722421875,2.7563100625,1.7143,2,10.077241435647,-0.233125,1.62328996658325,-0.047056674957276,1.05268173217773,-0.375787639617921,1.11161651611328,1.12057522150266E-08,1.99231411368572E-08,1.45148427721509E-08,0.214278007883871,1.59211643868673E-10
AC0038,16,56,-0.4961,-0.48813,-0.41022,-0.33942,-0.30556,0.03853,0.04596,0.04728,0.06095,0.06301,-1.4863658,-307.6790676269,5.484999125,-24.1751799464286,8.2893695,-0.791307482142857,5.69784973214286,0.1736,2,10.079545596242,-0.2204150390625,1.74433469772339,-0.463117027282716,1.10630931854248,-0.742133998870851,1.14465551376343,7.63016982929798E-09,3.1529772126504E-08,1.74127110508238E-08,1.86646387234646E-09,3.63296006611336E-08
AC0039,13,50,-0.53584,-0.50714,-0.44939,-0.36003,-0.30594,0.03879,0.04568,0.05103,0.06261,0.07623,-1.3744401,-305.6116850205,6.10147648,-25.00527664,8.2592374,-0.82922062,5.36154966,0.4963,2,9.72207386791706,-0.227421875,1.72976083755493,-0.532319927215578,1.11931591033936,-0.496286010742189,1.16650524139404,2.94943818257565E-08,2.10945352296932E-08,4.24977724122755E-08,1.39587477132608E-08,2.02508805280388E-08
AC0041,15,56,-0.50391,-0.4175,-0.41357,-0.37954,-0.3148,0.03603,0.045,0.04945,0.06137,0.06704,-1.514833,-323.6813431773,5.76991196428571,-25.0247246785714,8.50592796428571,-0.810288678571428,5.77914944642857,1.8448,2,9.92631449997425,-0.22416015625,1.76806468963623,-0.41800355911255,1.12219257354736,-0.579150199890138,1.16765241622925,6.52442655457719E-09,2.52459582128495E-08,5.87318356171096E-08,0.383016808366843,8.89749052213062E-08
